"","state","city","density","freq","reg","hireg","ld"
"1","Alabama","Abbeville",63,2,"1",0,4.14313472639153
"2","Alabama","Adamsville",66,9,"1",0,4.18965474202643
"3","Alabama","Alabaster",509,4,"1",0,6.23244801655052
"4","Alabama","Alberta",62.7,1,"1",0,4.13836144763888
"5","Alabama","Albertville",311,18,"1",0,5.73979291217923
"6","Alabama","Alexander City",134,24,"1",0,4.89783979995091
"7","Alabama","Alexandria",121.9,1,"1",0,4.80320103648723
"8","Alabama","Aliceville",197,2,"1",0,5.28320372873799
"9","Alabama","Andalusia",172,9,"1",0,5.14749447681345
"10","Alabama","Anderson",82,1,"1",0,4.40671924726425
"11","Alabama","Anniston",184,62,"1",0,5.21493575760899
"12","Alabama","Arab",241,16,"1",0,5.48479693349065
"13","Alabama","Ariton",56,3,"1",0,4.02535169073515
"14","Alabama","Ashford",131,2,"1",0,4.87519732320115
"15","Alabama","Ashland",101,1,"1",0,4.61512051684126
"16","Alabama","Ashville",46,2,"1",0,3.8286413964891
"17","Alabama","Athens",248,57,"1",0,5.51342874616498
"18","Alabama","Atmore",174,14,"1",0,5.15905529921453
"19","Alabama","Attalla",322,3,"1",0,5.77455154554441
"20","Alabama","Auburn",419,51,"1",0,6.03787091992214
"21","Alabama","Autaugaville",42,5,"1",0,3.73766961828337
"22","Alabama","Axis",99.6,1,"1",0,4.60116216459055
"23","Alabama","Baileyton",45,1,"1",0,3.80666248977032
"24","Alabama","Bay Minette",205,12,"1",0,5.32300997913841
"25","Alabama","Bayou La Batre",128,1,"1",0,4.85203026391962
"26","Alabama","Bessemer",251,95,"1",0,5.52545293913178
"27","Alabama","Billingsley",40,1,"1",0,3.68887945411394
"28","Alabama","Birmingham",557,976,"1",0,6.32256523992728
"29","Alabama","Blountsville",118,6,"1",0,4.77068462446567
"30","Alabama","Boaz",256,6,"1",0,5.54517744447956
"31","Alabama","Boligee",29,1,"1",0,3.36729582998647
"32","Alabama","Bon Air",32,1,"1",0,3.46573590279973
"33","Alabama","Booth",56.4,1,"1",0,4.03246915850401
"34","Alabama","Brantley",97,3,"1",0,4.57471097850338
"35","Alabama","Brent",213,3,"1",0,5.36129216570943
"36","Alabama","Brewton",180,6,"1",0,5.19295685089021
"37","Alabama","Bridgeport",206,1,"1",0,5.32787616878958
"38","Alabama","Brighton",764,5,"1",0,6.63856778916652
"39","Alabama","Brookside",80,1,"1",0,4.38202663467388
"40","Alabama","Brookwood",85,1,"1",0,4.44265125649032
"41","Alabama","Brundidge",77,4,"1",0,4.34380542185368
"42","Alabama","Bucks",17.4,1,"1",0,2.85647020622048
"43","Alabama","Butler",120,2,"1",0,4.78749174278205
"44","Alabama","Calera",224,7,"1",0,5.41164605185504
"45","Alabama","Calhoun",15.8,1,"1",0,2.76000994003292
"46","Alabama","Calvert",79.2,1,"1",0,4.37197629882038
"47","Alabama","Camden",170,2,"1",0,5.13579843705026
"48","Alabama","Camp Hill",41,1,"1",0,3.71357206670431
"49","Alabama","Carbon Hill",135,1,"1",0,4.90527477843843
"50","Alabama","Carrollton",181,1,"1",0,5.19849703126583
"51","Alabama","Cedar Bluff",136,2,"1",0,4.91265488573605
"52","Alabama","Center Point",1015,8,"1",0,6.92264389147589
"53","Alabama","Centre",118,2,"1",0,4.77068462446567
"54","Alabama","Centreville",109,3,"1",0,4.69134788222914
"55","Alabama","Chancellor",35.7,2,"1",0,3.57515068878559
"56","Alabama","Chelsea",220,3,"1",0,5.39362754635236
"57","Alabama","Cherokee",175,4,"1",0,5.16478597392351
"58","Alabama","Chickasaw",531,1,"1",0,6.27476202124194
"59","Alabama","Childersburg",153,3,"1",0,5.03043792139244
"60","Alabama","Chunchula",44.2,1,"1",0,3.78872478908365
"61","Alabama","Citronelle",58,7,"1",0,4.06044301054642
"62","Alabama","Clanton",147,13,"1",0,4.99043258677874
"63","Alabama","Clay",373,1,"1",0,5.92157841964382
"64","Alabama","Clayton",163,1,"1",0,5.09375020080676
"65","Alabama","Cleveland",64,1,"1",0,4.15888308335967
"66","Alabama","Clio",56,1,"1",0,4.02535169073515
"67","Alabama","Cloverdale",26.9,1,"1",0,3.29212628660779
